trial,accuracy,kappa,bands,status;;;;;;;;;;;;;;
74,56.00,0.281,TCW;TCI;Open_3;GLCM_SR_B6_idm_7;NDVI;GLCM_SR_B5_contrast_3;TCG;GLCM_SR_B6_contrast_3;NDBI;Clay_Index;NDMI;Fe_Oxide_Index;GLCM_SR_B6_var_3;NDWI;GLCM_SR_B7_contrast_3,OK
75,55.33,0.277,TCI;TCB;NDWI;GLCM_SR_B6_ent_7;GLCM_SR_B6_ent_3;Clay_Ratio;WDI;GLCM_SR_B6_contrast_3;Clay_Index;NDMI;TCW;MNDWI;TNDI;BSI;GLCM_SR_B5_contrast_3,OK
76,58.33,0.300,EVI;GLCM_SR_B5_var_3;BSI;GLCM_SR_B6_idm_3;NDBI;GLCM_SR_B6_ent_3;NBLI;GLCM_SR_B7_contrast_3;Open_3;Close_3;TCI;GLCM_SR_B6_contrast_7;NDMI;SAVI;GLCM_SR_B6_contrast_3,OK
77,58.67,0.301,Open_3;GLCM_SR_B6_ent_3;Fe_Composite_Index;GLCM_SR_B6_contrast_3;EVI;BSI;GLCM_SR_B6_idm_3;TCB;NBLI;Clay_Index;GLCM_SR_B5_contrast_7;Fe_Oxide_Index;TCG;GLCM_SR_B7_contrast_3;GLCM_SR_B6_idm_7,OK
78,59.67,0.305,GLCM_SR_B5_contrast_3;SAVI;EVI;GLCM_SR_B6_ent_3;GLCM_SR_B6_contrast_3;GLCM_SR_B5_contrast_7;TCW;TCG;GLCM_SR_B7_contrast_3;NDBI;Granulo_7;GLCM_SR_B5_var_3;GLCM_SR_B6_idm_3;NDMI;GLCM_SR_B6_contrast_7,OK
79,56.33,0.284,NDVI;Fe_Oxide_Index;TNR;EVI;GLCM_SR_B5_contrast_3;WDI;GLCM_SR_B6_ent_3;GLCM_SR_B7_contrast_3;NBLI;NDWI;Open_3;TCW;Clay_Ratio;TCI;NDMI,OK
80,58.00,0.296,GLCM_SR_B5_contrast_7;BSI;NDMI;GLCM_SR_B6_contrast_3;Fe_Composite_Index;MNDWI;NDBI;GLCM_SR_B6_idm_3;TNR;Open_3;TNDI;Clay_Index;TCW;GLCM_SR_B6_contrast_7;Clay_Ratio,OK
81,59.00,0.304,Fe_Composite_Index;TCG;SAVI;GLCM_SR_B6_ent_7;WDI;TCW;GLCM_SR_B6_var_3;EVI;TNDI;NDBI;NDVI;Clay_Index;Fe_Oxide_Index;TCI;GLCM_SR_B6_contrast_7,OK
82,58.33,0.299,GLCM_SR_B6_ent_7;Close_3;Clay_Ratio;Granulo_7;GLCM_SR_B6_contrast_3;Fe_Oxide_Index;GLCM_SR_B5_contrast_7;TCI;TCB;TNDI;Clay_Index;GLCM_SR_B5_contrast_3;NDVI;GLCM_SR_B5_var_3;EVI,OK
83,56.33,0.284,NDWI;GLCM_SR_B5_contrast_7;Clay_Ratio;GLCM_SR_B6_idm_7;GLCM_SR_B6_idm_3;GLCM_SR_B7_contrast_3;Fe_Oxide_Index;TNR;GLCM_SR_B6_contrast_3;GLCM_SR_B6_var_3;NDMI;GLCM_SR_B5_contrast_3;Open_3;Clay_Index;Close_3,OK
84,60.00,0.312,Close_3;NDBI;TCG;Open_3;WDI;Fe_Composite_Index;TNR;Granulo_7;BSI;Clay_Index;GLCM_SR_B6_idm_7;EVI;GLCM_SR_B5_var_3;GLCM_SR_B6_ent_3;TCW,OK
85,56.00,0.287,TNR;NDWI;GLCM_SR_B6_idm_3;GLCM_SR_B5_contrast_7;WDI;EVI;Close_3;GLCM_SR_B7_contrast_3;BSI;GLCM_SR_B6_idm_7;NBLI;GLCM_SR_B6_ent_7;Clay_Index;TCI;NDVI,OK
86,56.67,0.286,TNR;GLCM_SR_B6_var_3;Fe_Oxide_Index;GLCM_SR_B6_ent_7;GLCM_SR_B6_ent_3;NBLI;TCG;NDMI;TNDI;NDBI;Open_3;Clay_Ratio;Fe_Composite_Index;WDI;Granulo_7,OK
87,60.33,0.314,TCI;GLCM_SR_B6_ent_3;BSI;SAVI;GLCM_SR_B7_contrast_3;Fe_Oxide_Index;TNR;EVI;GLCM_SR_B5_contrast_7;GLCM_SR_B6_idm_7;TNDI;Close_3;Open_3;GLCM_SR_B6_contrast_3;NBLI,OK
88,58.67,0.301,TCI;NDBI;GLCM_SR_B6_idm_3;Open_3;TNDI;Fe_Oxide_Index;GLCM_SR_B7_contrast_3;GLCM_SR_B6_idm_7;NDVI;Close_3;Clay_Index;Clay_Ratio;TCB;GLCM_SR_B5_contrast_7;Fe_Composite_Index,OK
89,55.67,0.280,Open_3;NDWI;Granulo_7;TCI;Fe_Oxide_Index;GLCM_SR_B6_idm_3;Fe_Composite_Index;Close_3;MNDWI;SAVI;GLCM_SR_B6_contrast_3;GLCM_SR_B6_contrast_7;NDBI;BSI;TCB,OK
90,55.00,0.275,GLCM_SR_B6_contrast_3;NDVI;Fe_Composite_Index;TNDI;GLCM_SR_B5_contrast_3;TCW;TCB;NBLI;MNDWI;NDWI;GLCM_SR_B7_contrast_3;SAVI;WDI;EVI;BSI,OK
91,56.00,0.281,GLCM_SR_B6_contrast_7;Fe_Oxide_Index;GLCM_SR_B7_contrast_3;GLCM_SR_B6_contrast_3;Clay_Ratio;NDWI;SAVI;MNDWI;TCB;TCI;Close_3;GLCM_SR_B6_idm_3;WDI;TCG;NDMI,OK
92,58.67,0.301,GLCM_SR_B6_idm_7;GLCM_SR_B6_var_3;TCG;GLCM_SR_B6_ent_3;TCW;Open_3;BSI;WDI;GLCM_SR_B7_contrast_3;Fe_Oxide_Index;GLCM_SR_B6_contrast_7;TNDI;SAVI;NDVI;Granulo_7,OK
93,60.00,0.312,GLCM_SR_B6_idm_3;NDVI;TCB;Clay_Ratio;TCW;Granulo_7;GLCM_SR_B5_contrast_7;NDWI;Close_3;GLCM_SR_B6_var_3;Open_3;GLCM_SR_B6_contrast_7;GLCM_SR_B5_var_3;GLCM_SR_B5_contrast_3;Fe_Composite_Index,OK
